parent_key	att_key	pdf_size	pages	cache_words	reason	att_filename
HBBG5ZG8	W9PJAH23	640606	1	522	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	YHDY7PD5	640606	1	522	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	QHSA4ZCW	24922	3	3	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	YWFP2F59	24922	3	3	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	A5BGAN65	640606	1	0	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	2RSRPBHS	11864	1	0	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
HBBG5ZG8	5YFSXA73	11864	1	1	lower-quality	2003 - Book Rewview Medieval craftsmanship elucidated.pdf
ZWF4KHB7	YEYTVP5Q	1362984	228	38638	identical-duplicate (keep first)	David Tomíček - 2008 - Víra, rozum a zkušenost v lidovém lékařství  pozdněstředověkých Čech.pdf
ZWF4KHB7	J5G5CAJK	MISSING	0	0	lower-quality	PDF
UKRNMJVR	IDS6LHT7	134324	14	6519	identical-duplicate (keep first)	Špička - Francesco Petrarca Travelling and Writing to Prague’s Court.pdf
UKRNMJVR	YBQD4QEH	MISSING	0	0	lower-quality	PDF
2AM4HHEW	IIDMLQ5Z	645098	8	4946	identical-duplicate (keep first)	Pagliara - Uberto Decembrio A Humanist in Prague at the End of the Fourteenth Century.pdf
2AM4HHEW	FIFAZW2N	MISSING	0	0	lower-quality	PDF
8H4VJ7CV	LYNYAEJ7	2749332	41	14258	identical-duplicate (keep first)	Novati - 1890 - I codici francesi de' Gonzaga. Secondo nuovi documenti.pdf
8H4VJ7CV	ZDAMYFNX	MISSING	0	0	lower-quality	PDF
ZKRHRIC8	MDIJMFJ5	811737	10	5627	identical-duplicate (keep first)	Wilkins - 1960 - On the Carriage of Petrarch's Letters.pdf
ZKRHRIC8	92FRMSYP	MISSING	0	0	lower-quality	Plný text
JCYC79GX	I3NWZ4LN	1787496	152	51284	identical-duplicate (keep first)	Jan Odstrčilík et al. - 2013 - The First Decades of Prague University Transforming Intellectual Space in 14th Century Central Euro.pdf
JCYC79GX	AVQRK3AC	MISSING	0	0	lower-quality	PDF
54ZPYYUD	JH9MUKC6	5136210	163	44488	identical-duplicate (keep first)	Cascio et al. - 2023 - Petrarca e l'Umanesimo latino.pdf
54ZPYYUD	QI2ZYRBE	5136210	163	44488	identical-duplicate (keep first)	Cascio et al. - 2023 - Petrarca e l'Umanesimo latino.pdf
